country_name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,Lat,Long
Honduras,0,10,0,33,211,14,67,7,4,61,0,51.165691,10.451526
Hong Kong (China),,,,,1,0,2,,,0,,7.946527,-1.023194
Hungary,,0,16,,1,,17,500,5,52,0,36.137741,-5.345374
Iceland,,,,,0,,,,,,,39.074208,21.824312
India,42,7119,599,1038,1439,2204,1808,2236,1431,4997,17737,71.706936,-42.604303
Indonesia,111,170,107,129,1294,1485,144,979,7421,1325,166604,12.262776,-61.604171
Iran Islam Rep,,45,319,,11,0,56,24,77,734,75,16.995971,-62.067641
Iraq,,11,4,6,,2,15,24,22,,0,13.444304,144.793731
Ireland,0,,,2,,0,,,,0,0,15.783471,-90.230759
Israel,,4,,,46,,,,,,,49.465691,-2.585278
Italy,1,18,73,29,3,335,9,17,5,9,2,9.945587,-9.696645
Jamaica,,,1,,15,,13,5,4,6,16,11.803749,-15.180413
Japan,35,400,173,19975,180,61,29,87,62,136,359,4.860416,-58.93018
Jordan,,,,,,,,,,,,18.971187,-72.285215
Kazakhstan,5,,0,2,44,,1,,,0,48,-53.08181,73.504158
Kenya,,128,73,33,261,307,112,39,395,106,143,15.199999,-86.241905
Kiribati,0,,,,,,0,,,,,22.396428,114.109497
Korea Dem P Rep,,51,147,74,20,,,610,282,193,24,47.162494,19.503304
Korea Rep,10,,22,121,12,,10,23,46,29,24,64.963051,-19.020835
Kuwait,,,,,,,,,,,,20.593684,78.96288
Kyrgyzstan,0,,16,0,0,0,74,0,4,3,49,-0.789275,113.921327
Lao P Dem Rep,,100,,48,,26,6,2,,,,32.427908,53.688046
Latvia,,,10,,,,,,40,0,,33.223191,43.679291
Lebanon,,,,,,,,1,,,,53.41291,-8.24389
Lesotho,,,,26,,,0,0,,,,54.236107,-4.548056
Liberia,6,,,,1,2,0,1,,29,,31.046051,34.851612
Libyan Arab Jamah,,16,,,,,,,,,,41.87194,12.56738
Lithuania,,,30,,9,,,,0,0,,18.109581,-77.297508
Luxembourg,,,,,0,,,,,,,36.204824,138.252924
Macau,,,,,,,,,,,,49.214439,-2.13125
Macedonia Fry,,1,1,,,,,1,0,1,15,30.585164,36.238414
Madagascar,,164,112,35,120,27,125,91,4,107,395,48.019573,66.923684
Malawi,,3,4,4,0,66,113,2,28,12,,-0.023559,37.906193
Malaysia,,4,,18,,0,0,102,6,13,97,-3.370417,-168.734039
Maldives,,,,4,,,,0,,,102,42.602636,20.902977
Mali,,37,,50,0,35,0,18,10,43,0,29.31166,47.481766
Marshall Is,0,0,,,,,0,,,,,41.20438,74.766098
